sentence1,sentence2,score
Tiêu đề tin tức thế giới hiển thị trên màn hình lớn.,Một người đàn ông mặc quần áo cho một cuộc đua thư giãn.,0.0
Hai người phụ nữ tạo dáng với một em bé.,Hai người phụ nữ mỉm cười bế một em bé.,4.0
Một chiếc máy bay màu đỏ và trắng bay vào một ngày nắng.,Máy bay màu đỏ và trắng bay trong không trung.,4.2
Một bức ảnh đen trắng của một nhà ga xe lửa cũ.,Một bức ảnh đen trắng của một con mèo ngồi trên ghế sofa.,0.8
Một chiếc xe đạp trước một số tàn tích.,Một chiếc xe đạp màu hồng ở phía trước của một tòa nhà.,2.2
Xe buýt hai tầng màu đỏ bên đường.,Một chiếc xe buýt hai tầng màu đỏ trên một con phố đông đúc.,3.8
Một chiếc xe buýt lái xuống một con đường đông đúc.,Một chiếc xe buýt màu xanh lá cây lái xuống một con đường.,3.2
Một cặp vợ chồng già châu Á chụp ảnh với một em bé đang ngáp tại bàn ăn.,Một cặp vợ chồng châu Á lớn tuổi chụp ảnh với một em bé sơ sinh tại bàn ăn.,4.4
Vịt nâu và trắng đi trên cỏ xanh.,Một chiếc máy bay màu đỏ và trắng bay vào một ngày nắng.,0.0
Người dân đi xe máy trong khung cảnh đô thị.,Người dân cưỡi ngựa trong khu vực có rào chắn.,1.4
Động cơ đầu máy lớn màu bạc trong một nhà kho.,Chuyến tàu màu bạc đang đậu trong một nhà ga.,2.6
Hai người ngồi trên một chiếc xe máy lớn.,Hai con đại bàng ngồi trên một cành cây dài.,0.4
Một người phụ nữ ăn mặc hở hang đang đứng cạnh một chiếc xe hơi.,Một con chim màu vàng và cam giữ chặt bên cạnh một cái lồng.,0.0
Một số tivi nằm trên sàn và xếp chồng lên nhau.,"Ba chiếc tivi, trên sàn nhà, hai chiếc còn lại trên một cái hộp.",3.2
Cừu đang gặm cỏ trên một cánh đồng cỏ gần một gốc cây.,Cừu đang gặm cỏ trên cánh đồng trước một hàng cây.,4.6
nhỏ bảo vệ chủ của nó.,Mặt sau của biển báo dừng được trang trí bằng nhãn dán.,0.0
Trẻ em nhìn một con cừu.,Trẻ vắt sữa bò bên ngoài.,0.6
Một bức ảnh đen trắng của một chiếc ghế tình yêu.,Một bức ảnh đen trắng của một nhà ga xe lửa cũ.,1.2
mặt sau của biển báo dừng với nhiều nhãn dán trên đó.,Mặt sau của một bảng hiệu có nhãn dán.,3.8
Phòng khách hoặc den với tivi màn hình lớn.,Phòng khách với đồ nội thất màu nâu và tivi màn hình phẳng.,3.2
Hai người phụ nữ ngồi trên ghế cỏ.,Hai người phụ nữ đang ngồi trong một quán cà phê.,2.6
Một chiếc xe buýt màu đỏ hai tầng lái xuống đường.,Một chiếc xe buýt hai tầng màu đỏ lái xuống phố.,5.0
Con chim đen đang ngồi trên mặt đất.,Mặt sau của một con lợn dưới gốc cây với một ở phía sau.,0.0
Một chiếc máy bay của Das Air Cargo ngồi trên đường băng.,Một máy bay chở khách đậu trên đường băng.,3.2
Một con mèo ngủ trên tấm màu tím.,Một con mèo đen trắng ngủ trên một tấm chăn màu tím.,4.0
Cận cảnh một con mèo trên ghế sofa kem.,Cận cảnh một con ngựa.,1.2
Một nhà bếp với tủ gỗ và bàn ăn.,Một nhà bếp với tủ gỗ và đồ nội thất.,4.4
Một chiếc xe máy đậu gần một bức tường được bao phủ bởi một cảnh graffiti của cảnh quan thành phố.,Một chiếc xe máy đậu bên bức tranh tường của một thành phố vào buổi tối.,3.4
Hai cậu bé ngồi đối diện nhau tại một cái bàn và một người chỉ vào người kia.,Hai người ngồi đối diện nhau tại một cái bàn trong khi một người chỉ vào người kia.,4.4
Hai trắng đang bơi trong nước.,Những con chim đang bơi trong nước.,0.8
Tàu du lịch lớn màu trắng nổi trên mặt nước.,Tàu du lịch lớn nổi trên mặt nước.,4.6
Hai con đại bàng hói đậu trên cành cây.,Hai con đại bàng đang đậu trên cành cây.,4.2
Một chiếc ba lô đứng bên cạnh một đoàn tàu.,Một cuộc tụ họp xã hội của mọi người trong một nhà hàng.,0.0
Con chim đang ngồi trên cành cây.,Một con chim màu đỏ và nâu đang đậu trên cành.,3.2
Một nhóm người tạo dáng đội mũ lông.,Một nhóm người đi xe đạp mặc màu xanh lá cây và trắng với khán giả nhìn vào.,0.0
Mèo nhà đen nằm trên bàn màu nâu.,Một con mèo xám nằm trên bàn ăn.,1.4
Bốn đứa trẻ nhìn động vật chuồng trại.,Trẻ em nhìn một con cừu.,3.2
Một con mèo đen trắng chơi với một cái giỏ len.,Một con mèo đen trắng nằm trên chăn.,1.8
Hai người đàn ông trên thuyền nổi trên mặt nước.,Một chiếc du thuyền gỗ trên đại dương.,1.8
Một người đàn ông đang làm một bánh xe trên một chiếc xe đạp leo núi.,Một người phụ nữ tạo dáng bên cây cột có biển hiệu U2.,0.0
Một người phụ nữ cưỡi ngựa.,Người phụ nữ đang cưỡi trên con ngựa nâu.,3.8
Tàu đi xuống đường ray.,Một đoàn tàu hơi nước màu đen di chuyển trên đường ray xe lửa.,3.8
Một chiếc máy bay màu trắng trên đường băng.,Một chiếc máy bay màu trắng của Thụy Sĩ tiếp cận đường băng.,4.0
Những con vịt trắng đang đứng trên mặt đất.,Một người phụ nữ đội mũ đen đang đứng bên tàu điện ngầm.,0.0
Một nhóm người ăn ở bàn bên ngoài.,Một nhóm người ngồi tại bàn nhà hàng.,3.2
Bé gái ngồi trên bàn.,Một người phụ nữ với một em bé đang mỉm cười ngồi trên bàn.,1.6
Hai con mèo ở gần nhau bên trong và chuồng lông đen trắng.,Hai chú mèo con đang ngồi bên trong một mái vòm phủ đầy lông bò.,3.6
Một nhóm người ngồi trên chiếc ghế sofa nhỏ cạnh bếp.,Một nhóm người đứng gần một đứa trẻ nhỏ đang ngồi trên ngựa.,1.0
Một người đàn ông nhảy xe đạp đất.,Một người đàn ông đi xe đạp nhảy lên không trung.,3.6
Một bức ảnh đen trắng của một cái chai ngồi trên đỉnh một tảng đá chạm khắc trước một hàng bụi cây.,Một chai nước ngồi trên một hòn đá với những viên đá khác và một bức tường ở phía sau.,2.0
Một con mèo đen trắng đang ngồi trên một chiếc ghế màu nâu nhìn lên.,Mèo đen trắng ngồi trên ghế gỗ nhìn lên.,3.6
Một sừng đen trắng đứng trên cánh đồng.,Một lớn màu đen và trắng trên một cánh đồng.,4.0
"Một người đàn ông tóc dài đội mũ đứng giữa hai chai Coca lớn, nửa rỗng.",Một người đàn ông đội mũ lưỡi trai và áo khoác đi giữa hai chai lớn.,3.6
Một máy bay phản lực của hãng hàng không AeroMexico chạy dọc theo đường băng.,Một chiếc AreoMexico Jet Liner màu bạc ngồi trên đường băng.,3.2
Một con chim đỏ và bốn con chim khác ngồi trong tuyết.,Năm con chim đứng trên tuyết.,2.8
Một cặp vợ chồng châu Á lớn tuổi chụp ảnh với một em bé sơ sinh tại bàn ăn.,Một nhóm người cao tuổi tạo dáng quanh bàn ăn.,2.4
Mèo nhà nhìn ra ngoài cửa sổ.,Một con mèo trắng nhìn ra ngoài cửa sổ.,3.6
Hai gặm cỏ trên một cánh đồng.,Một con ngựa nâu trên cánh đồng xanh.,1.8
Một người đang đứng bên dưới cầu vượt gần đường cao tốc.,Một người dắt chó đi dạo dọc theo mép nước.,0.2
Một phụ nữ và trẻ em đẩy xe đẩy xuống vỉa hè.,Một phụ nữ và một cô gái trẻ đi xe đẩy dọc theo vỉa hè.,3.4
Một con chim trắng bay lên cây.,Một con mèo trắng nằm trên một tấm trải giường.,1.2
"Một người phụ nữ ngồi trên bàn ăn với rượu, bia và chanh.",Bốn phụ nữ và hai người đàn ông ngồi ở một chiếc bàn dài trong một nhà hàng.,1.4
Một máy tính xách tay và một màn hình máy tính.,Một máy tính xách tay và một PC tại một máy trạm.,2.6
Một con mèo trắng nằm trên ghế văn phòng.,Một con mèo trắng nằm trên một tấm trải giường.,2.4
Một chiếc thuyền nhỏ màu vàng ngồi trên một bãi biển nhiệt đới.,Một cô gái nhỏ ngồi trên một mỏm đá gần một cây hoa màu trắng.,0.0
Hai người phụ nữ đang chăn một con cừu trắng bên trong một tòa nhà bằng gỗ.,Hai người phụ nữ xén lông một con cừu trắng trong một chuồng gỗ.,4.0
Một người đàn ông đeo kính và hai chai nhựa ở phía trước.,Một người đàn ông nói chuyện với hai chai nước ngồi trước mặt anh ta.,3.0
Cận cảnh một con ngựa nâu.,Cận cảnh một con ngựa.,4.0
Một văn phòng với nhiều bàn làm việc và những bức tường xanh.,Không gian văn phòng nhỏ với những bức tường xanh tươi.,4.0
Một người phụ nữ dẫn đầu một con ngựa trắng.,Một người đàn ông mặc tux trên một con ngựa trắng.,2.0
Một người đàn ông đi xe máy đang thực hiện một cú đánh bánh xe.,Người điều khiển xe máy thực hiện một bánh xe bên cạnh một chiếc ô tô.,4.0
Bên trái của một động cơ xe lửa màu bạc.,Cận cảnh động cơ tàu hỏa màu đen.,2.2
Chiếc ghế dài màu xanh và giường đôi trong phòng khách.,Một chiếc ghế da và bàn gỗ trong phòng khách.,2.2
Một chiếc xe đạp màu trắng đứng trên sàn nhà.,Xe đạp kiểu cũ đậu trên sàn.,3.4
Một con chim ăn từ máng ăn chim.,Một con chim màu vàng ăn trái cây trên máng ăn chim.,3.2
Con chim đen ngồi trên một tấm bê tông.,Chim đen đứng trên bê tông.,4.0
màu sẫm đứng trên cánh đồng cỏ.,Một xám đứng trên cánh đồng cỏ.,3.2
Một cô gái trẻ tóc vàng nở nụ cười và đội mũ bảo hiểm xe đạp.,Một cô gái trẻ đội mũ bảo hiểm xe đạp với một chiếc xe đạp ở phía sau.,3.8
Hai con ngựa nâu đứng trên cánh đồng cỏ.,Con ngựa nâu đứng giữa cánh đồng cỏ.,3.0
Cậu bé nằm trên ghế dài với chú chó nhỏ màu trắng.,Một cậu bé nằm trên ghế sofa với một.,4.0
Một người phụ nữ đang nằm xuống sàn và bế một em bé lên trên.,Một người đàn ông đang nằm trên sàn nhà bế một em bé lên trên.,2.2
Một ngôi nhà màu xám với cánh cửa màu đỏ.,Ngôi nhà có cánh cửa màu đỏ.,3.4
Một người phụ nữ với một con ngựa trắng.,Một người phụ nữ dẫn đầu một con ngựa trắng.,3.8
Người phụ nữ chán nản ngồi trên đi văng.,Người phụ nữ lớn tuổi bế em bé sơ sinh.,0.0
Một phụ nữ lớn tuổi bắt một chuyến đi trên lưng xe đạp.,Những chiếc thuyền nằm trên mặt nước nằm ở phía trước của ngọn núi.,0.0
Những nâu và trắng đang ăn trong máng.,Bò nâu và trắng đang ăn từ máng.,4.8
"Một phụ nữ trẻ với cánh tay dang rộng đứng trước một chiếc xe buýt \""Going Places\"".",Cô gái đang đứng trước cánh cửa mở của xe buýt.,3.0
Bò đen trắng đứng trên cánh đồng cỏ.,Một bức ảnh đen trắng của một người đàn ông đứng cạnh xe buýt.,0.8
Một nhóm người đang dùng bữa bên ngoài.,Một nhóm người ăn ở bàn bên ngoài.,4.2
Hai con mèo ngồi cùng nhau trên ghế sofa nhìn ra ngoài cửa sổ.,Hai con mèo ngồi trên lưng ghế dài nhìn ra ngoài cửa sổ.,4.2
Một người đàn ông ngồi trên băng ghế nhìn một trên dây xích ngồi trên vỉa hè.,Một người phụ nữ bế một em bé nhỏ trong khi ngồi trên ghế sofa.,0.0
Một chiếc xe tay ga màu xanh đậu trên vỉa hè.,Một chiếc xe máy màu xanh đậu trên vỉa hè.,4.2
Hai xám chạy cùng nhau trên thảm cỏ xanh.,Hai xám chạy trên cỏ xanh.,4.6
Hai đang chạy trên một cánh đồng cỏ,Hai chạy qua một cánh đồng cỏ.,5.0
Hai vợ chồng đang ngồi gần mặt nước trên ghế cỏ.,Cậu bé nhảy từ bàn dã ngoại này sang bàn dã ngoại khác trong công viên.,0.0
German Shephard nhảy qua vòng đen trong khi mọi người xem,Một nhảy qua một cái vòng.,3.2
Một nhóm người đứng trên đường,Một người phụ nữ nói chuyện với một nhóm người khác nhau đứng trên đường phố.,2.6
Một chạy trên cỏ nâu.,Một ướt chạy qua bãi cỏ vàng cầm một quả bóng tennis.,2.2
Người đàn ông và hai cậu bé nhảy lên tấm bạt lò xo.,Một người đàn ông và hai cậu bé nhảy lên tấm bạt lò xo.,4.6
"Một người đàn ông ăn một quả táo, ngồi ở nơi công cộng.",Một người đàn ông ngồi ở nơi công cộng ăn một quả táo.,5.0
Hai cô gái trẻ ôm nhau trên cỏ.,Hai cô gái trẻ ôm nhau trên bãi cỏ,4.6
Hai trắng đang đi bộ qua tuyết trắng đậm.,Hai trắng đi bộ qua một bờ tuyết núi khổng lồ.,4.6
Bốn cô gái mặc đồ bơi đang chơi bóng chuyền trên bãi biển.,Bốn phụ nữ mặc bikini đang chơi bóng chuyền trên bãi biển.,4.8
Trẻ em chơi bóng trong công viên.,Hai chú chó đang chơi đùa bên bờ biển.,0.6
Một người đàn ông mặc vest đang đạp xe trên con đường trải nhựa.,Một người đàn ông đang sử dụng một cây sào lớn để loại bỏ các chữ cái khỏi bảng hiệu.,0.2
Một đen trắng đang chạy trong một khu vườn cỏ được bao quanh bởi một hàng rào trắng.,Một đen trắng đang nhảy qua một rào cản.,2.2
Nhóm người đi bộ đường dài đang nghỉ ngơi trước một ngọn núi.,Một số người đi bộ đường dài nghỉ ngơi với thiết bị của họ trước một ngọn núi.,4.8
Hai cô gái mặc váy màu xanh lam và xanh mòng két và đội mũ lớn đang đứng cạnh một thân cây lớn.,"Một người phụ nữ, một cậu bé và một em bé nhỏ xíu đang đứng trước một bức tượng bò.",1.2
Một người phụ nữ đang ngồi ngủ với đầu tựa vào tay.,Một người đàn ông đang tựa đầu vào tay mình.,2.2
Một cậu bé nhảy xuống hồ.,Cậu bé đang nhảy xuống hồ.,4.6
Một đen đang đuổi theo hai con chim trên bờ đại dương.,Một đang chạy dọc theo bãi biển bên cạnh đại dương.,2.6
Một người đàn ông và một người phụ nữ trên băng ghế.,Một người đàn ông và một người phụ nữ ngồi trên băng ghế công viên.,3.6
nâu đang nằm trên một tấm vải màu xanh.,Một nâu và hai đen trên một cánh đồng cỏ mọc um tùm.,0.8
Hai chiến đấu trong tuyết.,Hai đứng trong tuyết.,2.4
Người đàn ông và hai cậu bé nhảy lên tấm bạt lò xo.,Một người đàn ông và hai cậu bé đang nhảy trên tấm bạt lò xo.,4.8
Một người đàn ông tập đấm bốc,Một người đàn ông tập đấm bốc,5.0
Cô gái với chiếc xô màu xanh văng xuống dưới bến tàu.,Cô gái mặc áo khoác trượt tuyết đang đi bộ gần các tòa nhà.,0.4
Một nhóm người đứng trên cát nhìn ra mặt nước.,Một nhóm người đang đứng trên bãi biển trước một số chiếc thuyền.,3.2
Một đen đang chạy theo một trắng trong tuyết.,Chó đen đuổi theo chó nâu qua tuyết,1.8
Một nhỏ màu trắng chạy trên bãi cỏ.,Một nhỏ màu trắng đang chạy,3.2
trắng và nâu đang chạy nhanh qua đám cỏ.,trắng lớn đang chạy trên cỏ.,3.4
Một đen đang chạy trên cỏ.,đen đang chạy qua đám cỏ.,4.8
Một đen trắng bơi trong làn nước trong vắt.,Một nhỏ màu đen và trắng đang bơi trong nước.,4.2
đen trắng chạy trong nước.,Một đen trắng đang chạy qua cỏ.,2.6
Hai chạy trong tuyết,Một nằm trong tuyết.,2.2
Một đang chạy qua tuyết.,Một bầy chó kéo xe kéo xe trượt tuyết qua một thị trấn.,1.4
Một vận động viên trượt ván trên đường phố.,"Một vận động viên trượt ván trên không trung tại một đoạn đường dốc lớn, ngoài trời.",2.6
Một cô gái nảy lên trong một ngôi nhà nảy.,Một cô gái nhảy múa như một người đàn ông trong trang phục,1.2
Một nâu và trắng đang bắt một quả bóng tennis trong khi đứng trên hai chân sau.,nâu và trắng đang mang một cây gậy trong miệng.,1.8
Một đen ướt với cổ áo đỏ đang ở trên sông,Một đen với cổ áo màu đỏ lội qua nước.,4.0
Hai người đang đi dạo bên bờ biển.,Hai người đàn ông mặc áo nỉ và đội mũ nhìn vào camera.,0.4
Hai cô bé áo hồng đang nhảy múa.,Hai người phụ nữ chạy bộ trên một con đường gần bờ sông.,0.0
Một người phụ nữ mặc quần jean chơi trò chơi điện tử trước màn hình lớn.,Một người đàn ông và một người phụ nữ đang tạo dáng chụp ảnh trước một luống hoa màu vàng.,0.4
Hai người đi bộ dọc theo bờ biển vào lúc hoàng hôn.,Hai người đi bộ dọc theo bãi biển vào lúc hoàng hôn cảnh báo một nhóm người.,3.0
Một đen đang chạy qua tuyết.,đen và nâu đang chạy qua tuyết.,4.0
Một người phụ nữ mặc bikini màu hồng đang nằm trên một chiếc ghế salon được phủ một chiếc khăn màu hồng.,Một người phụ nữ mặc áo sơ mi trắng và váy đen trên sân tennis.,1.4
Ba người đứng trong một cấu trúc kính ngoài trời.,Một cô gái đứng cao trên bục vượt chướng ngại vật.,0.4
Một nhóm người đang có mặt tại một hội nghị vẫy cờ Mỹ.,Một đám đông người tại một sự kiện ngoài trời,2.4
Một cậu bé trượt ván xuống lan can của một số cầu thang graffiti,Một vận động viên trượt ván đang nhảy qua chướng ngại vật trước một ngôi nhà trắng.,2.8
Một trắng đang chạy trong nước tại một bãi biển,Một trắng đang chạy qua mặt nước vào bờ.,4.6
Một người đàn ông và một người phụ nữ thổi bong bóng.,Một người đàn ông và một người phụ nữ đeo kính thổi bong bóng.,4.2
Một ván trượt thực hiện một thủ thuật ra khỏi một phần tư ống.,Một vận động viên trượt ván cố gắng thực hiện một thủ thuật trên một đoạn đường dốc tự chế.,3.2
Một người phụ nữ và một người đàn ông thích thú với tai nghe.,Một người đàn ông và một người phụ nữ nghỉ ngơi sau khi tập thể dục.,1.2
Hai cô gái đi dạo giữa đại dương.,Hai cô gái đi bộ trên đường phố,1.8
Thuyền buồm trong vùng nước gồ ghề.,Một người đàn ông đang chèo thuyền kayak trong vùng nước gồ ghề.,2.6
Ba chú chó đang chơi đùa trong tuyết trắng.,Hai đang chơi trên cỏ.,1.6
Một người đàn ông mặc quần bơi màu đỏ đang chơi bóng chuyền.,Một người đàn ông và một người phụ nữ ngồi trên một chiếc xe máy.,0.0
Hai người mặc bộ đồ tuyết nằm trong tuyết làm thiên thần tuyết,Hai đứa trẻ nằm trong tuyết làm thiên thần tuyết,3.8
Một cô bé tóc vàng đang đứng trước đài phun nước.,Một cô gái trẻ đứng trước đài phun nước,4.0
Một cậu bé cưỡi trên xích đu.,Một cậu bé cưỡi trên xích đu.,4.8
Một đen chạy qua tuyết.,Một đen chạy qua nước.,2.4
Một đen đi bên cạnh hồ bơi.,Một đen đang đi dọc theo bên hồ bơi.,5.0
Người đàn ông mặc áo sơ mi đen đội mũ và mỉm cười.,Một người đàn ông đang nâng một cô bé lên trên đầu mình.,0.0
Một người đàn ông và một người phụ nữ đang đi xe đạp trên đường phố.,Một người đàn ông và một phụ nữ đang đi xe đạp qua một ngã ba trong thành phố.,3.6
Hai trong tuyết,Hai chơi trên cỏ.,2.4
Ba chơi đùa trong tuyết.,Ba chạy trong tuyết.,4.2
Cậu bé mặc áo cam đang ném bóng.,mõm đen trắng đang nhảy lên trên cỏ.,0.2
Một số người đang ngồi quanh đống lửa vào ban đêm.,Một nhóm người ngồi quanh đống lửa cháy vào ban đêm.,4.2
Hai chiến đấu trong tuyết.,Hai chơi đùa trong tuyết.,3.2
Một nhóm người đang ở dưới nước.,Một nhóm người đi xe trong một cuộc đua,0.6
Hai đang đánh hơi thứ gì đó trong đá.,Hai chạy xuống một con đường trong rừng.,1.6
Một đen nằm trên cát.,Trẻ em chơi trong nước,0.0
Một người đàn ông mặc đồ đen đội mũ và đeo kính trước bức tường màu đỏ.,Một người phụ nữ mặc áo sơ mi trắng đứng trước bức tường gạch.,1.4
Một người đàn ông giúp một cậu bé đi xe đạp.,Người đàn ông giúp cậu bé đi xe đạp.,4.8
Hai chú chó đang chơi đùa trong tuyết.,Những chơi đùa trong tuyết.,4.0
Hai chú chó đang chơi đùa trên bãi biển cùng nhau.,Hai đen đang chơi trên một bãi cỏ.,3.0
Hai rám nắng và trắng và một rám nắng chạy xuống bãi biển gần mặt nước.,Người phụ nữ mặc áo khoác Tinkerbell màu hồng đứng cạnh lan can và nhìn ra mặt nước.,0.2
Một người đàn ông đang đi xe đạp trên một con đường đất.,Hai chạy dọc theo con đường đất.,1.6
Một phụ nữ trẻ đội mũ đang ngồi đọc sách tại một quán cà phê.,Một người phụ nữ thích đọc sách tại quán cà phê,4.4
Một đen trắng đang chạy qua bãi cỏ.,đen trắng đang chạy trên cỏ.,4.8
Một người phụ nữ đứng dang tay ra hai bên trong khi một người khác chụp ảnh.,Một người đàn ông đứng trong đám đông cầm một vật thể màu trắng.,0.4
"Nhiều người đang ở trên bãi biển, gần một tòa nhà với những lá cờ tung bay.",Một bãi biển sầm uất có người rải rác trên đó ngắm nhìn bầu trời.,2.4
đen trắng chạy trong nước.,Một rám nắng và trắng chạy qua nước.,3.0
"Ba chú hề trong trang phục tươi sáng, nhiều màu.",Ba người phụ nữ trong những chiếc váy màu sắc rực rỡ.,2.0
Hai màu be chơi trên cỏ.,Hai tan chơi trên cỏ,4.6
Một và một quả bóng màu đỏ trong không khí.,Một đào một cái hố trong sân.,1.0
Một chạy bộ qua cỏ.,Một chạy qua cỏ.,5.0
Nhóm bé gái và một chú chó đứng trên đường.,Một nhóm người đi bè nước trắng trên một chiếc bè màu xanh.,1.4
Một người đàn ông mặc bộ đồ màu xám quỳ trước mặt một người phụ nữ mặc váy trắng.,Một người phụ nữ mặc đồ đỏ với một cốc bia theo sau là một người đàn ông mặc đồ trắng.,0.0
Một con chó nâu và trắng với một chiếc đĩa Frisbee màu hồng trong miệng đang vo ve trên lưng một người đàn ông.,"một với một chiếc đĩa Frisbee trong miệng, nhảy qua một người đàn ông.",3.0
Một và mèo nằm xuống cùng nhau.,Hai xám đang mang theo một cây gậy trong nước.,0.6
Một gia đình đang chơi trên bãi biển với của họ.,Một cô bé trần truồng bị ném lên không trung.,0.0
Một chạy qua đám cỏ dài.,Một nằm xuống bãi cỏ dài màu xanh lá cây.,2.6
Một nhóm người đang cắm trại trên một số tảng đá.,Một nhóm người đang đứng bên cạnh một chiếc xe cứu hỏa.,1.2
Có một đen nhảy vào bể bơi.,Một đen đang nhảy vào bể bơi.,5.0
Ba chơi đùa trong tuyết trong khi một mặc áo khoác.,"Ba chơi đùa trong tuyết, với một thành phố ở phía sau.",3.4
Một nhóm người trên thuyền chạy về phía bờ.,Một nhóm người đứng cùng nhau và tạo dáng trước một ngôi nhà.,0.8
"Một đám người đứng trên một con đường nông thôn, một cánh đồng phía sau họ, một khu rừng ở phía trước.",Một đám người đứng cạnh một chiếc xe hơi với cốp xe mở.,0.8
Một kiếm sĩ Nhật Bản nhảy lên không trung.,Một người phụ nữ đang khiến của mình nhảy lên không trung.,1.0
Một người đàn ông mặc quần đùi võ sĩ cờ Mỹ đang đứng trên cầu thang.,Một người phụ nữ mặc áo sơ mi trắng đứng trên đường.,0.0
Một nhóm bảy người đang đi bè trong ghềnh trên một chiếc thuyền xanh.,Một nhóm người đang đứng và ngồi xung quanh trên mặt đất vào ban đêm.,0.0
Một người đàn ông với mái tóc dài đang nhìn qua máy ảnh.,Một người đàn ông đeo kính râm nhìn thẳng về phía trước.,2.0
đen và nâu đang chơi trong sân.,đen và nâu đang đuổi theo thứ gì đó mà nó đã phát hiện ra.,2.4
Một cậu bé đang nhảy xuống nước với một quả bóng trong tay.,Một cậu bé bơi dưới nước với một món đồ chơi trên tay.,2.2
Một người mặc đồ lặn đang bơi dưới nước.,Một người đang lặn biển trong làn nước trong xanh rất trong.,3.8
này đang nhảy qua nước.,Hai chạy qua nước trên bãi biển.,2.2
Một cô gái trẻ mỉm cười với cái đầu lộn ngược,Một cô gái tạo dáng với đầu lộn ngược.,4.6
Hai người phụ nữ cầm cờ ca rô gần một chiếc xe màu cam.,Hai người phụ nữ mặc quần áo sơ sài tạo dáng bên cạnh một chiếc xe hơi kiểu cũ.,2.8
Một vận động viên khúc côn cầu nhìn chăm chú xuống dưới.,Một vận động viên khúc côn cầu trong một trận đấu.,2.0
Hai nâu đuổi theo nhau trong tuyết.,Hai chú chó nâu đang chơi đùa với nhau trong tuyết.,4.2
Trẻ em đang chơi trên tấm bạt lò xo trong tuyết.,Một số trẻ em và nhảy trên tấm bạt lò xo trong tuyết.,4.5
Một với một cây gậy đi theo một khác qua nước.,Một chiếc xe bốn bánh đang lái qua bùn.,0.0
Một đen và nâu đang nhai một cây gậy lớn.,Một đen trắng chơi đùa trên cát.,1.8
Hai đen chơi đùa trên cỏ.,Hai chơi trên cỏ.,4.2
Hai cậu bé đang nhảy xuống hồ bơi.,Hai cậu bé đang ở giữa không trung nhảy xuống hồ bơi dưới lòng đất.,4.2
Một nhóm người đàn ông đi bộ và bám vào dây thừng.,Một nhóm đàn ông chơi một trận bóng đá ở trường đại học.,1.4
Một người da đen mặc đồ đen và đỏ đang ngủ trên băng ghế với một chiếc ô đen mở.,Một người đàn ông ngồi dậy chợp mắt trên băng ghế công viên với một chiếc ô mở bảo vệ anh ta khỏi ánh nắng mặt trời.,3.6
Một người đàn ông với bộ râu xám đạp xe trên bãi biển của đại dương.,Một đốm đứng trên hai chân sau để bắt một quả bóng trên bãi biển.,0.6
Một chú chó Golden Retriever nhảy khỏi hiên nhà bằng gỗ.,Một chú chó tha mồi vàng đang nhảy khỏi hiên nhà bằng gỗ,5.0
Một người đàn ông đang trượt băng xuống cầu thang.,Người đàn ông đang trượt tuyết xuống một ngọn đồi tuyết.,0.8
Một người phụ nữ với bộ trang phục màu vàng đang ở trong không khí phía trên giường trong một căn phòng màu vàng.,Một với dây xích màu đỏ vẫn còn bám theo trên cỏ về phía một quả bóng tennis.,0.0
Một vận động viên trượt tuyết đang nhảy lên không trung trên một cánh đồng tuyết gần một dãy núi.,Một người phụ nữ đang ngồi gần một bồn hoa nhìn ra một đường hầm.,0.0
Những đang chơi đùa trong tuyết.,Hai chú chó chơi đùa trên bờ.,1.8
Một cậu bé mặc quần bơi màu đỏ đang nhảy xuống hồ bơi.,Một đang được phun bằng vòi khi nó nhảy vào bể chèo.,0.8
Hai đang chạy trên bãi cỏ trước những tán cây.,Một nâu đang chạy trên bãi cỏ trước một số cây.,2.8
Một cậu bé trèo lên tường đá,Năm săn thỏ đang đua trên một đường đua cát.,0.0
Một vận động viên trượt ván nhảy khỏi cầu thang.,Một nhảy khỏi cầu thang.,0.8
Hai chạy cùng nhau và một con có một món đồ chơi vịt trong miệng.,Một đen trắng đi qua bãi cỏ với một cây gậy dài trong miệng.,1.8
đen trắng đang chạy trên cỏ.,Một đen trắng bơi trong làn nước xanh.,1.4
Một người phụ nữ chạy trên bãi biển.,Một chạy ngang qua đất.,1.8
Một màu vàng nhảy xung quanh trên cỏ trong khi ngậm một cây gậy trong miệng.,Một đen đang chạy qua bãi cỏ mang theo thứ gì đó màu đỏ trong miệng.,2.4
Một trắng đang chơi với một quả bóng trên bãi biển.,Một đen trắng đang chơi với một rám nắng.,1.6
Người phụ nữ mặc váy đen với phụ kiện màu đỏ đang đi bộ xuống phố.,Người phụ nữ mặc váy đen đi bộ trên đường.,3.8
Hai tiếp cận nhau trên cỏ.,Hai đối mặt nhau trên cỏ.,4.8
Các phương tiện hiện tại của chúng tôi sẽ được đưa vào bảo tàng khi mọi người đều có máy bay riêng.,Chiếc xe cần một số công việc,0.2
Một nữ giám sát viên đang hướng dẫn các công nhân nam.,Một người phụ nữ đang làm y tá.,1.0
Bầu trời có rất ít hoặc không có mây.,"Người phụ nữ này có thể đã sẵn sàng cho Leo núi, hoặc chỉ ngắm những đám mây, ở trên.",0.4
Cậu bé nhảy chân trần ra ngoài sân trước.,Thiếu niên đạp xe vòng quanh những người đi bộ trong sân.,0.4
Có những trong rừng.,Những ở một mình trong rừng.,4.0
